Ticker,Name,Keyword
AXP,American Express,"""American Express"""
AMGN,Amgen,"""Amgen"""
AAPL,Apple,"""Apple"""
BA,Boeing,"""Boeing"""
CAT,Caterpillar,"""Caterpillar"""
CSCO,Cisco,"""Cisco"""
CVX,Chevron,"""Chevron"""
GS,Goldman Sachs,"""Goldman Sachs"""
HD,Home Depot,"""Home Depot"""
HON,Honeywell,"""Honeywell"""
IBM,IBM,"""IBM"""
INTC,Intel,"""Intel"""
JNJ,Johnson & Johnson,"""Johnson & Johnson"""
KO,Coca-Cola,"""Coca-Cola"""
JPM,JPMorgan Chase,"""JPMorgan Chase"""
MCD,McDonald,"""McDonald"""
MMM,3M,"""3M"""
MRK,Merck,"""Merck"""
MSFT,Microsoft,"""Microsoft"""
NKE,Nike,"""Nike"""
PG,Procter & Gamble,"""Procter & Gamble"""
TRV,Travelers Companies,"""Travelers Companies"""
UNH,UnitedHealth,"""UnitedHealth"""
CRM,Salesforce,"""Salesforce"""
VZ,Verizon,"""Verizon"""
V,Visa,"""Visa"""
WBA,Walgreens,"""Walgreens"""
WMT,Walmart,"""Walmart"""
DIS,Disney,"""Disney"""
DOW,Dow,"""Dow"""
